generation,max_fitness,mean_fitness,median_fitness,min_fitness,std_fitness
80,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
81,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
82,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
83,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
84,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
85,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
86,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
87,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
88,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
89,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
90,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
91,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
